id,x,y,mass,velocity_x,velocity_y
0,5.23512e+10,4.00224e+11,5.974e+24,-17684,4211.97
1,-3.78746e+11,-1.69603e+11,5.974e+24,5664.19,-17005.7
2,-1.10244e+11,1.01614e+11,5.974e+24,-55067.8,31838.7
3,1.84835e+11,2.0204e+11,5.974e+24,-13301.7,17782.2
4,-2.65421e+11,2.64168e+11,5.974e+24,-14785.4,-11750.3
5,-4.76613e+10,-1.18525e+11,5.974e+24,1553.07,-50853.5
6,-4.53845e+11,8.33817e+09,5.974e+24,-1799.83,-17033.3
7,-4.93206e+10,-1.4227e+11,5.974e+24,-7424.26,-63495.8
8,-5.0425e+10,2.70705e+11,5.974e+24,-22141.5,40.8978
9,9.95676e+10,-1.63888e+11,5.974e+24,26418,5785.52
10,1.41035e+11,1.87956e+11,5.974e+24,-15324,18608.3
11,-4.2388e+11,-2.56835e+11,5.974e+24,7400.69,-14617.9
12,-1.17377e+11,-4.14025e+11,5.974e+24,16403.3,-6370.57
13,1.46451e+11,-6.548e+10,5.974e+24,66631.9,-16600
14,-1.81912e+11,-4.34591e+11,5.974e+24,14920.8,-7741.41
15,-2.36643e+11,-3.79621e+11,5.974e+24,13775.8,-10391
16,6.39751e+10,-1.23566e+11,5.974e+24,33701.2,-3987.74
17,-8.72922e+10,-4.44179e+11,5.974e+24,16477.7,-4761.5
18,2.28818e+10,4.09039e+11,5.974e+24,-17819,2826.78
19,-2.83368e+11,1.07774e+11,5.974e+24,-10531.7,-18230.9
20,-4.37451e+11,-1.54549e+11,5.974e+24,4281.81,-16389.9
21,1.00101e+11,-1.15173e+11,5.974e+24,51777.9,-39158.9
22,1.19053e+11,-3.2963e+10,5.974e+24,36260.9,17601.5
23,1.66735e+10,1.24853e+11,5.974e+24,-15256.8,47010.3
24,-2.12855e+11,-3.64842e+11,5.974e+24,14405.7,-10393.9
25,-3.45526e+11,1.74835e+11,5.974e+24,-10157.8,-15540.9
26,-9.38177e+10,4.84008e+11,5.974e+24,-16319.7,-1889.41
27,3.23264e+10,-4.80898e+11,5.974e+24,16615.6,-203.407
28,1.67019e+11,-1.81167e+11,5.974e+24,20342.9,11748.8
29,2.68194e+11,1.188e+10,5.974e+24,3335.52,22191
30,-2.81705e+11,1.5732e+11,5.974e+24,-12420.6,-16165.3
31,-1.21209e+11,-2.30433e+10,5.974e+24,-25052.4,-31799.7
32,1.21176e+11,-1.63974e+10,5.974e+24,39897.5,19301.9
33,2.19304e+10,1.33669e+11,5.974e+24,-8672.91,55252.9
34,2.23484e+11,-8.2777e+10,5.974e+24,13260.9,19906.6
35,-1.22695e+11,-2.07332e+11,5.974e+24,17182.6,-16441.3
36,-1.50672e+11,7.12619e+10,5.974e+24,-22399.1,-19230.1
37,-1.21455e+11,-5.93565e+10,5.974e+24,-6318.68,-34356.7
38,-2.5122e+11,1.11415e+11,5.974e+24,-12588.2,-18243
39,-1.25137e+11,4.10755e+10,5.974e+24,-53596,-2172.04
40,-2.43848e+11,2.39666e+11,5.974e+24,-15624.3,-12139.9
41,1.69051e+11,-2.74821e+11,5.974e+24,18731.6,8044.57
42,-1.3604e+11,-2.60851e+11,5.974e+24,17042.1,-12921.5
43,-1.91113e+11,-1.70306e+11,5.974e+24,11428,-19977.8
44,2.7886e+11,8.82422e+10,5.974e+24,-2929,21250.2
45,2.24213e+11,3.86675e+10,5.974e+24,1956.5,24455.3
46,3.01035e+10,2.09118e+11,5.974e+24,-23293.9,10542.7
47,2.82582e+10,-1.77914e+11,5.974e+24,21459.5,-74718.9
48,-2.9708e+11,-1.20054e+10,5.974e+24,-2649.33,-21103.2
49,1.76892e+11,1.19915e+11,5.974e+24,-7963.11,24122.5
50,3.4221e+11,6.82705e+10,5.974e+24,-1322.04,19535.7
51,1.51418e+11,-1.42596e+11,5.974e+24,22308.9,12956.9
52,1.77849e+11,1.56466e+10,5.974e+24,7932.19,27108.5
53,-1.57578e+11,-1.25414e+11,5.974e+24,9439.56,-24524.9
54,2.25045e+11,-3.46577e+11,5.974e+24,15967.1,8227.23
55,-1.33384e+11,-1.36905e+10,5.974e+24,-18328.2,-30102.7
56,-1.37699e+11,-5.62592e+10,5.974e+24,-4169.67,-31771.9
57,1.14915e+11,-4.46265e+10,5.974e+24,38268.6,13573.7
58,1.07878e+11,-1.84658e+11,5.974e+24,24591.3,6335.02
59,-2.96425e+11,-2.85864e+11,5.974e+24,11126.2,-14142.2
60,3.03377e+11,-5.64131e+10,5.974e+24,6956.15,19668.3
61,-8.14935e+10,9.28188e+10,5.974e+24,-39996.8,5191.87
62,3.9324e+11,-2.07171e+10,5.974e+24,2938.33,18171.9
63,1.20427e+11,2.12569e+11,5.974e+24,-17435.8,15901.6
64,-1.26862e+11,4.52449e+10,5.974e+24,-29218.2,-19397.9
65,1.54048e+11,-1.26642e+11,5.974e+24,22207.6,14327.1
66,2.5743e+11,-2.32554e+11,5.974e+24,14950.1,12735.3
67,-1.67655e+10,-4.13874e+11,5.974e+24,17764.9,-2508.35
68,1.64565e+11,4.62379e+10,5.974e+24,3690.87,28801.2
69,1.46266e+11,3.81656e+11,5.974e+24,-16122.4,8144.71
70,2.14934e+11,2.18216e+11,5.974e+24,-12424.1,16859.2
71,3.0161e+11,2.26031e+10,5.974e+24,1814.16,21001.9
72,1.99346e+11,-3.48682e+11,5.974e+24,16676.3,7343.59
73,-3.86098e+10,-3.12179e+11,5.974e+24,19881.3,-5602.11
74,1.70937e+10,1.80874e+11,5.974e+24,-25090.6,12293.2
75,-1.15288e+11,-4.29292e+10,5.974e+24,-20150,-35620.9
76,3.002e+11,-1.46412e+11,5.974e+24,11176.5,16617.3
77,-4.42544e+10,4.42094e+11,5.974e+24,-17313.9,-173.546
