id,x,y,mass,velocity_x,velocity_y
0,2.53611e+11,4.16975e+11,5.974e+24,-14086.9,8567.09
1,2.69496e+11,3.16663e+11,5.974e+24,-13603.1,11575.9
2,3.10784e+11,3.23443e+11,5.974e+24,-12401.8,11914.6
3,3.10872e+11,2.8981e+11,5.974e+24,-12048.3,12922
4,3.11391e+11,2.69775e+11,5.974e+24,-11750.7,13563.1
5,1.31474e+11,4.38721e+11,5.974e+24,-16303.8,4884.86
6,8.25386e+10,4.84028e+11,5.974e+24,-16203.7,2762.29
7,4.00507e+10,4.37361e+11,5.974e+24,-17307.8,1584.1
8,1.61416e+10,3.89189e+11,5.974e+24,-18439.2,764.058
9,8.8711e+10,4.08736e+11,5.974e+24,-17404.8,3776.66
10,1.19374e+11,3.94576e+11,5.974e+24,-17171.5,5194.32
11,8.10252e+10,3.55574e+11,5.974e+24,-18596.6,4236.69
12,9.32915e+10,3.23483e+11,5.974e+24,-19074.3,5500.29
13,1.72083e+10,3.14214e+11,5.974e+24,-20501.4,1121.82
14,4.24003e+10,3.16754e+11,5.974e+24,-20195.5,2702.28
15,2.60039e+10,2.82935e+11,5.974e+24,-21518,1977.38
16,5.60747e+10,2.64082e+11,5.974e+24,-21683.6,4604.11
17,7.07949e+10,2.64671e+11,5.974e+24,-21260.7,5685.85
18,1.4393e+11,3.08927e+11,5.974e+24,-17884.6,8331.04
19,1.53427e+11,2.81899e+11,5.974e+24,-17857.8,9718.1
20,1.7895e+11,2.71467e+11,5.974e+24,-16867.6,11115.7
21,1.67507e+11,2.60971e+11,5.974e+24,-17407,11173.2
22,2.13607e+11,3.05831e+11,5.974e+24,-15461.4,10797.6
23,2.03955e+11,2.4641e+11,5.974e+24,-15690,12985.6
24,2.23859e+11,2.05089e+11,5.974e+24,-14122.1,15413.5
25,1.53089e+11,2.45982e+11,5.974e+24,-18168,11307.1
26,1.36517e+11,2.28438e+11,5.974e+24,-19166.5,11454.3
27,1.63429e+11,1.64985e+11,5.974e+24,-16982.6,16821
28,8.93301e+10,1.92334e+11,5.974e+24,-22685.1,10539.1
29,9.42683e+10,2.01894e+11,5.974e+24,-22112.7,10320.2
30,2.01345e+10,2.07651e+11,5.974e+24,-25101.7,2433.34
31,5.20748e+10,1.5607e+11,5.974e+24,-26941,8988.73
32,9.64979e+10,1.55856e+11,5.974e+24,-22876,14162.8
33,1.16125e+11,1.3642e+11,5.974e+24,-20726.1,17639.1
34,1.11182e+11,1.24929e+11,5.974e+24,-21042.7,18730
35,8.14297e+10,9.12027e+10,5.974e+24,-24582.5,21949.2
36,7.69885e+10,8.25198e+10,5.974e+24,-25079.4,23410.3
37,3.25946e+10,1.27123e+11,5.974e+24,-30809.7,7899.76
38,6.0667e+10,1.0855e+11,5.974e+24,-28522.9,15944
39,5.7082e+10,1.00537e+11,5.974e+24,-29471.5,16737.8
40,2.14217e+10,1.15701e+11,5.974e+24,-33031,6120.69
41,6.43447e+09,7.53114e+10,5.974e+24,-41815.1,3619.57
42,3.04386e+10,9.06128e+10,5.974e+24,-35343.4,11887.7
43,2.79147e+10,5.19035e+10,5.974e+24,-41862.6,22693.3
44,2.15101e+10,2.25906e+10,5.974e+24,-45874.8,47337.4
45,2.89832e+10,2.89832e+10,5.974e+24,-39956.7,41157.8
46,2.42125e+10,1.31349e+10,5.974e+24,-29704,63345.7
47,4.22062e+10,1.61783e+10,5.974e+24,-19007.2,51127.1
48,7.44306e+10,2.33176e+10,5.974e+24,-12313.9,39428.5
49,6.67765e+10,1.20633e+10,5.974e+24,-7803.63,43631.1
50,7.54957e+10,1.11389e+10,5.974e+24,-6051.33,41329.6
51,8.8612e+10,9.99718e+09,5.974e+24,-4313.42,38373.5
52,1.09202e+11,2.61834e+10,5.974e+24,-8015.84,33445
53,9.3971e+10,3.41064e+10,5.974e+24,-12428.6,34273.1
54,2.08316e+11,1.17853e+11,5.974e+24,-11594.7,20492
55,2.36726e+11,7.43982e+10,5.974e+24,-6933.96,22059.5
56,1.78138e+11,1.03511e+11,5.974e+24,-12752.3,21941.4
57,1.47633e+11,1.09896e+11,5.974e+24,-16033.5,21538.5
58,1.3347e+11,6.95966e+10,5.974e+24,-13728.9,26330.8
59,1.63406e+11,9.52534e+10,5.974e+24,-13339.2,22884
60,1.74708e+11,6.78536e+10,5.974e+24,-9634.08,24803.8
61,1.75894e+11,2.69907e+10,5.974e+24,-4141.6,26991.6
62,1.70689e+11,3.25076e+10,5.974e+24,-5170.18,27148.1
63,2.35573e+11,2.16693e+10,5.974e+24,-2170.91,23582.1
64,3.74777e+11,2.06778e+11,5.974e+24,-8506.99,15413.6
65,4.13392e+11,1.86835e+11,5.974e+24,-7046.75,15583.4
66,4.00988e+11,1.87476e+11,5.974e+24,-7331,15682.8
67,3.50749e+11,2.31121e+11,5.974e+24,-9779.02,14838.8
68,3.60369e+11,2.00386e+11,5.974e+24,-8716.48,15677.1
69,3.04633e+11,2.2346e+11,5.974e+24,-11084,15109.7
70,2.8541e+11,1.31681e+11,5.974e+24,-8607.92,18654.6
71,3.44079e+11,1.74938e+11,5.974e+24,-8402.47,16526.3
72,3.29788e+11,1.3064e+11,5.974e+24,-7123.12,17980
73,3.55017e+11,1.04583e+11,5.974e+24,-5351.15,18161.9
74,2.62153e+11,1.18543e+11,5.974e+24,-8848.28,19566.7
75,3.06973e+11,3.72767e+10,5.974e+24,-2497.51,20562.3
76,3.38724e+11,2.98453e+10,5.974e+24,-1734.58,19676.5
77,3.7103e+11,1.74896e+10,5.974e+24,-890.981,18878.2
78,4.52674e+11,8.80172e+10,5.974e+24,-3237.76,16649.6
79,4.88744e+11,9.51415e+10,5.974e+24,-3119.92,16022.3
80,-5.59824e+10,3.83851e+11,5.974e+24,-18299.8,-2669.75
81,-1.933e+11,4.36533e+11,5.974e+24,-15242.5,-6750.26
82,-2.29358e+11,3.98981e+11,5.974e+24,-14720.2,-8462.75
83,-1.28784e+11,3.64966e+11,5.974e+24,-17459.6,-6161.66
84,-2.46193e+11,3.28869e+11,5.974e+24,-14384.8,-10770.9
85,-2.3562e+11,3.15827e+11,5.974e+24,-14707.6,-10971.4
86,-2.05735e+11,3.37507e+11,5.974e+24,-15643.5,-9536.74
87,-1.94927e+11,3.06854e+11,5.974e+24,-16125.3,-10243.6
88,-1.49261e+11,2.77248e+11,5.974e+24,-18074.1,-9731.28
89,-7.20667e+10,3.30789e+11,5.974e+24,-19342.2,-4214.54
90,-3.16518e+11,3.79604e+11,5.974e+24,-12582.2,-10493.4
91,-2.96167e+11,3.89957e+11,5.974e+24,-13108,-9957.04
92,-2.56827e+11,3.89486e+11,5.974e+24,-14077.8,-9283.83
93,-2.86554e+11,3.65976e+11,5.974e+24,-13302.1,-10415.1
94,-3.25582e+11,3.6229e+11,5.974e+24,-12273.5,-11030.9
95,-3.19484e+11,3.21261e+11,5.974e+24,-12132.8,-12066.2
96,-2.7161e+11,1.38109e+11,5.974e+24,-9456.21,-18601.1
97,-3.97173e+11,2.09958e+11,5.974e+24,-8030.62,-15193
98,-3.89828e+11,1.62563e+11,5.974e+24,-6820.94,-16358.2
99,-4.37517e+11,1.05134e+11,5.974e+24,-4012.31,-16696.6
100,-4.0822e+11,9.59721e+10,5.974e+24,-4070.5,-17315.1
101,-4.53067e+11,1.00208e+11,5.974e+24,-3649.53,-16510
102,-4.75922e+11,7.2531e+10,5.974e+24,-2500.01,-16411
103,-3.87632e+11,6.21783e+10,5.974e+24,-2911.02,-18151.2
104,-3.97014e+11,2.41537e+10,5.974e+24,-1108.42,-18229.5
105,-2.87055e+11,8.91622e+10,5.974e+24,-6230.37,-20064.2
106,-2.66707e+11,7.72652e+10,5.974e+24,-6081.97,-20995.4
107,-3.32558e+11,5.87414e+10,5.974e+24,-3447.27,-19519.2
108,-3.42708e+11,3.51602e+10,5.974e+24,-2002.09,-19521.1
109,-3.5285e+10,2.09771e+11,5.974e+24,-24629.9,-4144.03
110,-5.62833e+10,1.91895e+11,5.974e+24,-24717.4,-7250.59
111,-1.02348e+11,2.25635e+11,5.974e+24,-21074.5,-9560.28
112,-7.09747e+10,1.38865e+11,5.974e+24,-25975.8,-13276.6
113,-3.86702e+10,1.59241e+11,5.974e+24,-27656.6,-6716.35
114,-5.20371e+10,1.48548e+11,5.974e+24,-27405.4,-9599.7
115,-1.66618e+11,2.2487e+11,5.974e+24,-17495.2,-12964.6
116,-1.77847e+11,2.15268e+11,5.974e+24,-16802.7,-13884
117,-1.99717e+11,1.77767e+11,5.974e+24,-14806.5,-16640.6
118,-2.31232e+11,1.53666e+11,5.974e+24,-12098.2,-18208.9
119,-2.28582e+11,1.3666e+11,5.974e+24,-11453.2,-19157
120,-1.53053e+11,1.87945e+11,5.974e+24,-18144,-14775.8
121,-1.64797e+11,1.76952e+11,5.974e+24,-17141.8,-15965
122,-1.88267e+11,1.7736e+11,5.974e+24,-15531.6,-16486.4
123,-1.74185e+11,1.54801e+11,5.974e+24,-15850.1,-17835.7
124,-1.55656e+11,1.48657e+11,5.974e+24,-17149.9,-17955.4
125,-1.74192e+11,1.20848e+11,5.974e+24,-14260.1,-20555.4
126,-1.63363e+11,9.05378e+10,5.974e+24,-12923.9,-23316.6
127,-1.77317e+11,7.75859e+10,5.974e+24,-10495.6,-23987.5
128,-1.69419e+11,8.07e+10,5.974e+24,-11433.9,-24005.2
129,-2.49451e+11,1.21083e+11,5.974e+24,-9550.81,-19678.5
130,-2.16779e+11,8.40985e+10,5.974e+24,-8638.18,-22273
131,-2.11635e+11,7.16729e+10,5.974e+24,-7816.52,-23079
132,-2.09955e+11,4.00386e+10,5.974e+24,-4666.76,-24474.3
133,-2.49098e+11,2.20126e+10,5.974e+24,-2026.9,-22945.1
134,-1.51225e+11,2.07707e+10,5.974e+24,-4012.66,-29213.3
135,-4.82777e+10,9.36894e+10,5.974e+24,-31566,-16255.6
136,-6.37749e+10,9.42508e+10,5.974e+24,-28297.9,-19142.4
137,-7.51562e+10,8.31776e+10,5.974e+24,-25541.9,-23072.2
138,-7.9922e+10,7.87204e+10,5.974e+24,-24149.3,-24510.8
139,-8.91114e+10,3.80992e+10,5.974e+24,-14570.4,-34045.9
140,-1.087e+11,3.16427e+10,5.974e+24,-9578.79,-32886
141,-1.21009e+11,2.05222e+10,5.974e+24,-5501.85,-32427.7
142,-3.86567e+09,3.67643e+10,5.974e+24,-60287.5,-5001.26
143,-3.8686e+10,6.65341e+10,5.974e+24,-35977.2,-20868.7
144,-6.09094e+10,3.333e+10,5.974e+24,-21095.5,-38402.1
145,-1.68239e+10,2.30333e+10,5.974e+24,-57663.6,-37604.7
146,-3.05471e+10,1.63457e+10,5.974e+24,-31030.1,-54290.4
147,-1.5471e+10,1.94815e+10,5.974e+24,-60428.4,-41121.5
148,-1.41893e+10,1.86649e+10,5.974e+24,-62864.5,-40421.2
149,-2.18496e+10,-2.15203e+09,5.974e+24,1726.86,-76420.3
150,-2.10504e+10,-6.6844e+09,5.974e+24,17474.4,-74258.9
151,-2.98923e+10,-1.2082e+10,5.974e+24,22123.2,-60953.2
152,-8.74443e+08,-2.122e+10,5.974e+24,76844.4,-8552.71
153,-4.05661e+10,-5.37785e+09,5.974e+24,6689.04,-57024.3
154,-5.2513e+10,-5.1153e+09,5.974e+24,4618.56,-50173.2
155,-5.0498e+10,-1.19098e+10,5.974e+24,11382.5,-49528.8
156,-4.47066e+10,-4.29884e+10,5.974e+24,32068.5,-33532.4
157,-4.0014e+10,-5.25319e+10,5.974e+24,35695.7,-27302.4
158,-1.01531e+10,-3.98214e+10,5.974e+24,55297.4,-14970
159,-8.013e+10,-1.94876e+10,5.974e+24,9464.46,-39035.3
160,-7.49546e+10,-1.20078e+10,5.974e+24,6578.25,-41363.6
161,-9.81474e+10,-2.78277e+10,5.974e+24,9836.43,-34724
162,-7.6714e+10,-5.82186e+10,5.974e+24,22446.9,-29600.6
163,-7.31675e+10,-6.17853e+10,5.974e+24,24025.3,-28472.4
164,-9.46156e+10,-5.61374e+10,5.974e+24,17727.6,-29886.8
165,-7.34955e+10,-9.98256e+10,5.974e+24,26356.2,-19408.6
166,-6.39645e+10,-1.07239e+11,5.974e+24,28003.5,-16704.7
167,-3.37975e+10,-7.49153e+10,5.974e+24,36662.8,-16573.9
168,-4.32508e+10,-9.67216e+10,5.974e+24,32321.2,-14461.9
169,-1.83962e+11,-3.40847e+09,5.974e+24,497.819,-26850.9
170,-2.34512e+11,-4.62958e+10,5.974e+24,4563.43,-23114.5
171,-1.98467e+11,-7.20521e+10,5.974e+24,8555.28,-23564.2
172,-2.43977e+11,-6.99113e+10,5.974e+24,6299.55,-21980.2
173,-2.31635e+11,-8.47468e+10,5.974e+24,7969.32,-21779.9
174,-2.05539e+11,-1.15985e+11,5.974e+24,11653.7,-20649
175,-1.48159e+11,-7.89393e+10,5.974e+24,13223.4,-24815
176,-1.36283e+11,-8.08134e+10,5.974e+24,14758.9,-24894.6
177,-1.72584e+11,-8.43598e+10,5.974e+24,11542.6,-23612.6
178,-1.74214e+11,-1.13295e+11,5.974e+24,13776.3,-21182.4
179,-2.41122e+11,-1.71355e+11,5.974e+24,12269.2,-17262.4
180,-1.96533e+11,-1.72331e+11,5.974e+24,14856,-16941.9
181,-1.90372e+11,-1.82267e+11,5.974e+24,15516.2,-16203.4
182,-1.53185e+11,-1.88345e+11,5.974e+24,18137,-14752.6
183,-1.5382e+11,-2.00978e+11,5.974e+24,18183.3,-13912.8
184,-5.78462e+10,-1.75814e+11,5.974e+24,25434.9,-8368.21
185,-1.098e+10,-1.65158e+11,5.974e+24,28256,-1878.01
186,-6.4457e+10,-1.33849e+11,5.974e+24,26930.7,-12969
187,-1.14163e+11,-1.48487e+11,5.974e+24,21102,-16223.7
188,-8.49021e+10,-2.00746e+11,5.974e+24,22723.8,-9609.53
189,-9.72644e+10,-1.83782e+11,5.974e+24,22328,-11816.9
190,-1.21591e+11,-2.13304e+11,5.974e+24,20197.8,-11512.9
191,-1.12474e+11,-2.21713e+11,5.974e+24,20601.1,-10448.4
192,-2.57902e+11,-3.03901e+09,5.974e+24,268.319,-22678.9
193,-2.75613e+11,-7.53466e+10,5.974e+24,5683.92,-20785.6
194,-2.77864e+11,-7.9672e+10,5.974e+24,5906.32,-20593.8
195,-4.7481e+11,1.11727e+09,5.974e+24,-38.9477,-16717.7
196,-4.7821e+11,-1.3401e+10,5.974e+24,468.063,-16645.1
197,-4.42898e+11,-3.92765e+10,5.974e+24,1525.14,-17205.8
198,-4.61572e+11,-3.74603e+10,5.974e+24,1370.63,-16870
199,-4.90132e+11,-8.47324e+10,5.974e+24,2783.22,-16093.2
200,-4.76474e+11,-1.06107e+11,5.974e+24,3583.74,-16091.3
201,-4.03732e+11,-6.98121e+10,5.974e+24,3066.91,-17731.1
202,-3.77566e+11,-7.2701e+10,5.974e+24,3512.12,-18240.1
203,-4.79913e+11,-1.31095e+11,5.974e+24,4303.9,-15752
204,-4.5485e+11,-1.70143e+11,5.974e+24,5791.22,-15480.2
205,-3.51604e+11,-1.38102e+11,5.974e+24,6851.8,-17443
206,-3.68707e+11,-1.8977e+11,5.974e+24,8186.04,-15903.3
207,-3.06961e+11,-2.87077e+11,5.974e+24,12135.5,-12976.8
208,-3.27912e+11,-2.96392e+11,5.974e+24,11618.3,-12852.6
209,-3.2897e+11,-3.26638e+11,5.974e+24,11919.4,-12005
210,-3.36239e+11,-3.40292e+11,5.974e+24,11847.2,-11702.5
211,-2.93197e+11,-3.29125e+11,5.974e+24,12954,-11539.4
212,-6.00338e+09,-2.5196e+11,5.974e+24,22939,-545.582
213,-1.03498e+11,-2.90608e+11,5.974e+24,19538.4,-6955.9
214,-1.08286e+11,-2.97339e+11,5.974e+24,19240.7,-7005.65
215,-9.17e+10,-2.8266e+11,5.974e+24,20096.8,-6521.39
216,-5.87427e+10,-3.05452e+11,5.974e+24,20281.2,-3899.48
217,-3.32426e+10,-3.19025e+11,5.974e+24,20228.1,-2106.52
218,-1.30659e+11,-3.35652e+11,5.974e+24,17885.1,-6961.24
219,-1.54476e+11,-3.53873e+11,5.974e+24,16989,-7414.87
220,-2.24502e+11,-3.81462e+11,5.974e+24,14920.9,-8780.58
221,-8.32715e+10,-4.71711e+11,5.974e+24,16389,-2892.58
222,4.59474e+11,-2.8475e+10,5.974e+24,1049.35,16943.7
223,3.80716e+11,-2.47848e+10,5.974e+24,1210.61,18608.8
224,2.51507e+11,-2.91596e+10,5.974e+24,2634.43,22737.2
225,2.67773e+11,-4.35521e+10,5.974e+24,3547.62,21828.2
226,2.78437e+11,-6.4739e+10,5.974e+24,4877.27,20985.1
227,2.54091e+11,-1.40413e+11,5.974e+24,10339.4,18711.4
228,3.0452e+11,-1.46397e+11,5.974e+24,8584.84,17859.2
229,2.89737e+11,-2.02076e+11,5.974e+24,11084.7,15896
230,2.71367e+11,-2.03694e+11,5.974e+24,11871.2,15814.9
231,4.5229e+11,-1.50939e+11,5.974e+24,5279.59,15822.5
232,3.79231e+11,-1.41608e+11,5.974e+24,6332.29,16959.8
233,4.11703e+11,-1.98058e+11,5.974e+24,7387.16,15356.7
234,4.41735e+11,-1.83521e+11,5.974e+24,6388.64,15379.8
235,2.26634e+11,-4.6637e+09,5.974e+24,495.257,24188.1
236,2.00413e+11,4.35725e+09,5.974e+24,-560.249,25720.4
237,1.91646e+11,7.57199e+08,5.974e+24,-102.479,26313.4
238,1.89074e+11,-2.23353e+10,5.974e+24,3097.98,26219.7
239,2.10163e+11,-1.11133e+10,5.974e+24,1324.86,25076.1
240,2.25632e+11,-4.24267e+10,5.974e+24,4442.72,23627.5
241,2.47218e+11,-4.21395e+10,5.974e+24,3864.87,22676.8
242,1.76727e+11,-5.60711e+10,5.974e+24,8088.75,25500.9
243,1.62225e+11,-5.54859e+10,5.974e+24,9005.68,26324.7
244,1.6883e+11,-9.81812e+10,5.974e+24,13103,22533.3
245,9.98976e+10,-5.34868e+09,5.974e+24,1956.3,36394.7
246,6.61556e+10,1.73533e+09,5.974e+24,-1087.22,44883.4
247,8.83405e+10,-1.68229e+10,5.974e+24,7211.68,37772.2
248,7.82721e+10,-4.71473e+10,5.974e+24,19696.8,32666.7
249,5.51063e+10,2.74583e+09,5.974e+24,-2229.84,49198.1
250,5.27968e+10,-1.70103e+09,5.974e+24,1889.71,50319.8
251,4.12158e+10,-1.33527e+10,5.974e+24,17824,52828
252,5.31805e+10,-2.00517e+10,5.974e+24,17293,45323.4
253,5.31181e+10,-2.00568e+10,5.974e+24,17323.9,45338
254,2.13514e+10,-2.82602e+09,5.974e+24,15597.1,75343.3
255,0,0,1.989e+30,0,0
256,1.42853e+10,-2.2701e+10,5.974e+24,62176.5,33885.2
257,2.94581e+10,-4.66141e+10,5.974e+24,41761.1,26131.6
258,6.13612e+10,-5.64346e+10,5.974e+24,27064.7,29385.3
259,1.01611e+11,-6.21871e+10,5.974e+24,17431.6,28476.3
260,1.00833e+11,-6.99543e+10,5.974e+24,18752.6,27025.4
261,1.1113e+11,-1.21896e+11,5.974e+24,20963.1,19109.2
262,1.1641e+11,-1.30498e+11,5.974e+24,20558.5,18338.4
263,6.86895e+10,-1.56274e+11,5.974e+24,25525.7,11219.5
264,3.9937e+08,-1.29083e+11,5.974e+24,32072.3,93.3693
265,4.41974e+09,-1.39824e+11,5.974e+24,30788.8,972.858
266,2.07375e+10,-1.47506e+11,5.974e+24,29558.7,4155.26
267,3.78061e+09,-1.65001e+11,5.974e+24,28348.5,650.961
268,5.83414e+10,-1.90872e+11,5.974e+24,24658.1,7537.69
269,2.81212e+10,-1.9367e+11,5.974e+24,25769.5,3742.56
270,8.14001e+10,-2.21666e+11,5.974e+24,22251.4,8172.02
271,1.36268e+11,-1.26301e+11,5.974e+24,18165.7,19598.2
272,1.3726e+11,-1.39501e+11,5.974e+24,18559.7,18265.3
273,1.33181e+11,-1.69999e+11,5.974e+24,19512.4,15287.7
274,1.76601e+11,-1.52588e+11,5.974e+24,15587.2,18041.9
275,1.6901e+11,-1.80708e+11,5.974e+24,16911.5,15819.1
276,1.29554e+11,-1.77294e+11,5.974e+24,19847.3,14503.8
277,1.25378e+11,-2.06616e+11,5.974e+24,20030.9,12156.5
278,1.88927e+11,-2.52683e+11,5.974e+24,16421,12278.6
279,1.7929e+11,-2.62206e+11,5.974e+24,16871.4,11537.5
280,1.31164e+11,-2.94118e+11,5.974e+24,18536.5,8267.06
281,1.47502e+11,-3.22293e+11,5.974e+24,17591.4,8052.46
282,2.04748e+11,-3.14031e+11,5.974e+24,15757.9,10275.2
283,1.15987e+11,-2.46344e+11,5.974e+24,19971.2,9403.81
284,1.08736e+11,-2.81276e+11,5.974e+24,19564.8,7563.62
285,1.21244e+10,-2.44615e+11,5.974e+24,23245.9,1152.71
286,6.17067e+09,-2.89799e+11,5.974e+24,21389.3,456.57
287,1.19548e+11,-3.13696e+11,5.974e+24,18577.1,7080.98
288,6.79998e+10,-3.45867e+11,5.974e+24,19036.4,3743.52
289,3.83305e+10,-4.59655e+11,5.974e+24,16901.2,1410.2
290,6.37612e+10,-4.32351e+11,5.974e+24,17236.7,2542.52
291,1.885e+11,-3.82733e+11,5.974e+24,15819.5,7791.97
292,2.27377e+11,-4.01513e+11,5.974e+24,14756.3,8355.17
293,2.38762e+11,-4.07811e+11,5.974e+24,14456.9,8467.38
294,1.34621e+11,-3.68933e+11,5.974e+24,17266.2,6301.33
295,1.59758e+11,-4.51282e+11,5.974e+24,15692.7,5556.18
296,3.7982e+11,-2.81966e+11,5.974e+24,9981.29,13447
297,3.18905e+11,-2.62725e+11,5.974e+24,11393.3,13830.4
298,3.51107e+11,-2.87351e+11,5.974e+24,10830,13233.9
299,2.92836e+11,-3.18036e+11,5.974e+24,12886.7,11866.5
