id,x,y,mass,velocity_x,velocity_y
0,2.85078e+11,3.46284e+11,5.974e+24,-13279.9,10927.7
1,2.85714e+11,3.14608e+11,5.974e+24,-13081.6,11874.7
2,2.86723e+11,2.95832e+11,5.974e+24,-12887.7,12490.8
3,3.29943e+11,2.59924e+11,5.974e+24,-10999.6,13957.7
4,2.24872e+11,4.33131e+11,5.974e+24,-14634.2,7595.48
5,9.85285e+10,4.47254e+11,5.974e+24,-16623,3659.15
6,4.99681e+10,4.88449e+11,5.974e+24,-16352.8,1670.44
7,5.34471e+09,4.39138e+11,5.974e+24,-17379.2,209.022
8,5.36184e+10,4.14778e+11,5.974e+24,-17663.4,2280.85
9,8.46154e+10,4.03439e+11,5.974e+24,-17560,3681.14
10,1.07265e+11,3.23454e+11,5.974e+24,-18729.1,6206.63
11,4.34514e+10,3.62063e+11,5.974e+24,-18938.6,2270.01
12,1.76938e+09,3.19538e+11,5.974e+24,-20378,109.97
13,5.45747e+10,3.32182e+11,5.974e+24,-19591.1,3217.04
14,2.75295e+10,2.72542e+11,5.974e+24,-21903.5,2210.89
15,1.21414e+10,2.69651e+11,5.974e+24,-22145.3,996.286
16,1.16562e+11,2.98993e+11,5.974e+24,-18944,7381.69
17,1.15197e+11,2.65802e+11,5.974e+24,-19636.8,8511.17
18,2.41317e+11,3.38602e+11,5.974e+24,-14547.3,10365
19,1.81632e+11,3.25807e+11,5.974e+24,-16474.5,9180.66
20,1.439e+11,2.91518e+11,5.974e+24,-18121.3,8936.97
21,1.31289e+11,2.80904e+11,5.974e+24,-18740.8,8760.04
22,1.70985e+11,2.70291e+11,5.974e+24,-17215.9,10888.4
23,1.93556e+11,2.33852e+11,5.974e+24,-16107.7,13329.9
24,1.26208e+11,1.94861e+11,5.974e+24,-20069.2,12996.2
25,1.30627e+11,1.36667e+11,5.974e+24,-19154.4,18313.4
26,1.4744e+11,1.43784e+11,5.974e+24,-17729.3,18173.2
27,1.81204e+11,1.56269e+11,5.974e+24,-15382.9,17832.7
28,2.4157e+11,1.56196e+11,5.974e+24,-11662.3,18035.1
29,9.64222e+10,2.4799e+11,5.974e+24,-20813.6,8093.36
30,4.81115e+10,2.17478e+11,5.974e+24,-23838.2,5262.68
31,4.18774e+10,2.07827e+11,5.974e+24,-24524.6,4949.91
32,4.72203e+10,1.77022e+11,5.974e+24,-26008.9,6938.57
33,6.99172e+10,1.64823e+11,5.974e+24,-25073,10629.8
34,6.35607e+10,1.54575e+11,5.974e+24,-26066.5,10732.2
35,1.09699e+11,1.47657e+11,5.974e+24,-21563.4,16021.1
36,9.63329e+10,1.15485e+11,5.974e+24,-22817,19046.9
37,7.40384e+10,8.41369e+10,5.974e+24,-25840.6,22799.9
38,2.29141e+10,1.19898e+11,5.974e+24,-32418.5,6224.64
39,1.58931e+10,1.11526e+11,5.974e+24,-34018.6,4904.03
40,1.56921e+10,7.61148e+10,5.974e+24,-40543.2,8614.99
41,2.42708e+10,7.20942e+10,5.974e+24,-39619.9,13664.8
42,4.70404e+10,8.79228e+10,5.974e+24,-32187,17311.2
43,4.94066e+10,7.39097e+10,5.974e+24,-32119.7,21652.8
44,3.93007e+10,3.90065e+10,5.974e+24,-33828.5,35547.6
45,1.19362e+10,6.49668e+10,5.974e+24,-44138.1,8684.22
46,5.37812e+09,6.74662e+10,5.974e+24,-44254,4021.5
47,1.23549e+10,5.55871e+10,5.974e+24,-47039.4,11442
48,1.2481e+10,5.56144e+10,5.974e+24,-46994.6,11531
49,2.63677e+10,3.31782e+10,5.974e+24,-42593.4,35681.9
50,1.71371e+10,2.84908e+10,5.974e+24,-53794.6,32482.4
51,7.61946e+09,1.99417e+10,5.974e+24,-72042.5,28366.7
52,2.50728e+10,1.33593e+10,5.974e+24,-31843.4,61242.6
53,7.77674e+10,6.25289e+10,5.974e+24,-22832.2,28529
54,7.02888e+10,5.56859e+10,5.974e+24,-23826.4,30329.1
55,8.71651e+10,2.6537e+10,5.974e+24,-11011.2,36634.3
56,8.11371e+10,1.80203e+10,5.974e+24,-8474.53,39170.9
57,2.18785e+11,1.16957e+11,5.974e+24,-10905.9,20396.3
58,1.48611e+11,1.14045e+11,5.974e+24,-16207.1,21121.6
59,1.51849e+11,8.42402e+10,5.974e+24,-13411.1,24183.4
60,1.59416e+11,7.88516e+10,5.974e+24,-12110.4,24491.7
61,2.26491e+11,6.80784e+10,5.974e+24,-6823,22682.8
62,2.22403e+11,4.34522e+10,5.974e+24,-4647.17,23750.3
63,1.92656e+11,5.50876e+10,5.974e+24,-7075.3,24742.9
64,1.84172e+11,5.26944e+10,5.974e+24,-7237.37,25309.1
65,2.06756e+11,3.88854e+10,5.974e+24,-4643.25,24689.7
66,1.87875e+11,3.03013e+10,5.974e+24,-4200.04,26080.7
67,3.98116e+11,2.17434e+11,5.974e+24,-8207.8,15009.1
68,3.85102e+11,2.18229e+11,5.974e+24,-8532.08,15062.1
69,3.41579e+11,2.30933e+11,5.974e+24,-10045,14861.4
70,3.56495e+11,2.3686e+11,5.974e+24,-9749.45,14660.9
71,3.25693e+11,2.07123e+11,5.974e+24,-9949.81,15645.5
72,2.80985e+11,2.52517e+11,5.974e+24,-12527.1,13938
73,2.65775e+11,1.67745e+11,5.974e+24,-10969.3,17374.1
74,3.13586e+11,1.65742e+11,5.974e+24,-9039.34,17099
75,3.42452e+11,1.4029e+11,5.974e+24,-7180.52,17521.7
76,3.32949e+11,6.89059e+10,5.974e+24,-4005.88,19344.3
77,2.99206e+11,7.79398e+10,5.974e+24,-5223.47,20046.3
78,2.52591e+11,1.6544e+10,5.974e+24,-1502.05,22840.4
79,3.67306e+11,5.50892e+10,5.974e+24,-2806.41,18691.3
80,4.81444e+11,1.26956e+11,5.974e+24,-4164.89,15783.7
81,4.44964e+11,1.21045e+11,5.974e+24,-4453.66,16367.2
82,3.81291e+11,1.24939e+10,5.974e+24,-613.018,18639.9
83,-9.22688e+10,3.76752e+11,5.974e+24,-17963.3,-4401.7
84,-2.07544e+10,3.88946e+11,5.974e+24,-18429.3,-985.581
85,-2.23283e+11,4.21965e+11,5.974e+24,-14734.8,-7799.18
86,-1.63054e+11,3.5097e+11,5.974e+24,-16791.8,-7803.28
87,-2.36083e+11,3.16991e+11,5.974e+24,-14694.7,-10946.3
88,-2.26029e+11,2.8469e+11,5.974e+24,-14962.8,-11879.9
89,-1.84024e+11,2.55456e+11,5.974e+24,-16657.1,-12001.3
90,-2.38244e+10,3.13744e+11,5.974e+24,-20473.4,-1557.91
91,-1.10164e+11,3.20091e+11,5.974e+24,-18719.7,-6444.3
92,-1.71692e+10,2.83566e+11,5.974e+24,-21571.1,-1306.97
93,-2.5814e+11,3.8097e+11,5.974e+24,-14057.4,-9526.97
94,-2.84278e+11,3.69903e+11,5.974e+24,-13370.5,-10278.2
95,-3.21685e+11,3.69162e+11,5.974e+24,-12409.7,-10818.7
96,-3.40957e+11,3.57786e+11,5.974e+24,-11857.5,-11306.7
97,-3.4935e+11,3.39404e+11,5.974e+24,-11495.8,-11836.1
98,-3.12369e+11,3.44186e+11,5.974e+24,-12511,-11353.7
99,-3.42802e+11,2.96224e+11,5.974e+24,-11186.6,-12947.6
100,-2.7397e+11,3.06079e+11,5.974e+24,-13386.6,-11989.8
101,-2.63959e+11,2.92532e+11,5.974e+24,-13624.4,-12290.4
102,-4.12042e+11,1.78979e+11,5.974e+24,-6845.11,-15763.9
103,-4.02063e+11,1.29305e+11,5.974e+24,-5424.97,-16873.8
104,-4.44245e+11,7.14611e+10,5.974e+24,-2728.78,-16956.4
105,-4.59137e+11,6.69482e+10,5.974e+24,-2433.35,-16732.8
106,-4.79771e+11,3.95605e+10,5.974e+24,-1361.1,-16544.7
107,-4.14865e+11,6.10334e+10,5.974e+24,-2588.58,-17599.1
108,-3.91725e+11,2.56526e+10,5.974e+24,-1199.88,-18345.3
