id,x,y,mass,velocity_x,velocity_y
0,2.84692e+11,3.0875e+11,5.974e+24,-13069.7,12041.1
1,2.99515e+11,2.8333e+11,5.974e+24,-12324.7,13033.2
2,2.83277e+11,2.62104e+11,5.974e+24,-12593.6,13611.6
3,3.15803e+11,2.88781e+11,5.974e+24,-11895.5,12986.5
4,3.49065e+11,2.72149e+11,5.974e+24,-10639,13652.8
5,3.63418e+11,2.71346e+11,5.974e+24,-10253.2,13704.4
6,1.68324e+11,4.58039e+11,5.974e+24,-15478.6,5683.45
7,2.32485e+11,3.83515e+11,5.974e+24,-14712.3,8908.04
8,3.54297e+10,4.5656e+11,5.974e+24,-16972.8,1311.43
9,1.79217e+10,4.1178e+11,5.974e+24,-17928.4,777.065
10,1.16941e+11,3.54144e+11,5.974e+24,-17913.9,5908.57
11,7.26306e+10,3.16785e+11,5.974e+24,-19706.2,4506.18
12,3.50467e+10,3.38889e+11,5.974e+24,-19629.8,2019.65
13,4.28952e+10,3.17948e+11,5.974e+24,-20151.9,2710.65
14,3.80766e+10,2.87108e+11,5.974e+24,-21220.3,2816.62
15,1.48873e+10,2.65575e+11,5.974e+24,-22302.3,1252.03
16,1.02146e+11,3.03009e+11,5.974e+24,-19309.9,6506.86
17,5.7625e+10,3.0461e+11,5.974e+24,-20331.1,3849.66
18,2.33365e+11,3.55106e+11,5.974e+24,-14770.1,9694.6
19,1.83854e+11,3.72884e+11,5.974e+24,-16023.5,7895.13
20,2.34763e+11,3.38504e+11,5.974e+24,-14750.3,10232
21,1.27355e+11,2.75475e+11,5.974e+24,-18984.7,8774.61
22,2.29397e+11,3.00096e+11,5.974e+24,-14891.3,11380.9
23,2.17044e+11,2.27193e+11,5.974e+24,-14864.9,14193
24,1.88934e+11,2.16821e+11,5.974e+24,-16196.8,14112.1
25,1.65387e+11,1.84767e+11,5.974e+24,-17241.6,15431
26,1.45068e+11,1.38003e+11,5.974e+24,-17748.8,18656.6
27,1.34143e+11,1.36559e+11,5.974e+24,-18777.6,18466.2
28,1.85594e+11,1.46362e+11,5.974e+24,-14681.9,18601.4
29,6.77085e+10,1.94324e+11,5.974e+24,-23994.3,8359.73
30,1.12528e+11,2.11032e+11,5.974e+24,-20792.8,11084.5
31,4.34447e+10,2.27938e+11,5.974e+24,-23498.9,4479.11
32,4.43116e+10,1.83647e+11,5.974e+24,-25774,6236.86
33,1.66681e+10,1.83024e+11,5.974e+24,-26773.9,2449.97
34,6.99219e+10,1.73629e+11,5.974e+24,-24709.7,9968.5
35,7.8052e+10,1.5495e+11,5.974e+24,-24700.8,12471.6
36,9.05562e+10,1.52887e+11,5.974e+24,-23525.4,13958.7
37,5.72395e+10,1.04137e+11,5.974e+24,-29255.1,16247.5
38,7.2179e+10,9.88974e+10,5.974e+24,-26555.2,19561.9
39,5.58095e+10,6.0731e+10,5.974e+24,-29191.8,27482.2
40,1.11464e+10,2.56685e+10,5.974e+24,-61529.6,28370.1
41,2.98688e+10,3.38614e+10,5.974e+24,-40329.7,36805.5
42,3.56358e+10,2.48592e+10,5.974e+24,-30624.1,46415.5
43,7.51484e+10,1.43311e+10,5.974e+24,-7282.43,40912.4
44,2.32565e+11,9.95919e+10,5.974e+24,-9027.8,21037.1
45,1.87701e+11,1.26689e+11,5.974e+24,-13556.5,20070.7
46,2.34664e+11,8.80808e+10,5.974e+24,-8083.19,21566.3
47,2.09796e+11,9.28733e+10,5.974e+24,-9728.56,22006.8
48,1.69398e+11,1.24552e+11,5.974e+24,-14882.3,20260.2
49,1.47789e+11,1.19715e+11,5.974e+24,-16617.3,20559.2
50,1.40841e+11,9.73863e+10,5.974e+24,-15811.4,22938
51,1.60315e+11,9.26033e+10,5.974e+24,-13391.8,23212.5
52,1.62654e+11,2.60323e+10,5.974e+24,-4446.72,28046.1
53,1.74266e+11,1.13588e+10,5.974e+24,-1755.27,27542.7
54,1.89398e+11,4.66805e+10,5.974e+24,-6236.26,25340.6
55,1.84912e+11,1.49291e+10,5.974e+24,-2158.03,26663.8
56,4.622e+11,1.8503e+11,5.974e+24,-6072.7,15154.2
57,4.24058e+11,1.8107e+11,5.974e+24,-6663.82,15600.1
58,3.09357e+11,2.03002e+11,5.974e+24,-10394.6,15833.1
59,2.73344e+11,2.2594e+11,5.974e+24,-12326.6,14909.1
60,2.70362e+11,1.49859e+11,5.974e+24,-10047.9,18121
61,3.10115e+11,1.39233e+11,5.974e+24,-8097.18,18023.8
62,3.50126e+11,1.23749e+11,5.974e+24,-6305.13,17821.9
63,2.58377e+11,8.21364e+10,5.974e+24,-6714.54,21088
64,2.7973e+11,5.8209e+10,5.974e+24,-4396.92,21106.3
65,4.55116e+11,6.88639e+10,5.974e+24,-2544.25,16786.9
66,3.72568e+11,8.17931e+10,5.974e+24,-4003.95,18218.8
67,-1.15895e+10,4.90821e+11,5.974e+24,-16434.2,-393.466
68,-8.917e+10,3.79098e+11,5.974e+24,-17965.9,-4231.13
69,-1.30234e+10,4.17976e+11,5.974e+24,-17802.3,-560.426
70,-5.96453e+10,4.35053e+11,5.974e+24,-17219.5,-2366.59
71,-1.5779e+11,3.54282e+11,5.974e+24,-16895.1,-7530.08
72,-2.23049e+11,3.16188e+11,5.974e+24,-15130.7,-10678.3
