id,x,y,mass,velocity_x,velocity_y
0,2.57695e+11,3.67085e+11,5.974e+24,-14080,9876.26
1,2.58581e+11,3.37227e+11,5.974e+24,-14024.4,10744.9
2,2.59878e+11,3.19647e+11,5.974e+24,-13927.1,11323.8
3,2.54572e+11,2.7909e+11,5.974e+24,-13847.3,12628.9
4,3.06774e+11,2.86862e+11,5.974e+24,-12141.5,12976.5
5,3.20208e+11,2.59734e+11,5.974e+24,-11297.9,13932.8
6,3.35793e+11,2.65335e+11,5.974e+24,-10926.2,13809
7,1.95106e+11,4.47309e+11,5.974e+24,-15114.7,6589.05
8,6.50369e+10,4.53313e+11,5.974e+24,-16850.3,2413.06
9,1.71737e+10,4.90678e+11,5.974e+24,-16428.5,570.966
10,4.92143e+10,4.09244e+11,5.974e+24,-17815.6,2139.76
11,1.81379e+10,4.1781e+11,5.974e+24,-17794,768.254
12,6.91632e+10,3.33643e+11,5.974e+24,-19322.7,3998.07
13,5.40298e+09,3.64588e+11,5.974e+24,-19073.4,277.895
14,1.50991e+10,3.36263e+11,5.974e+24,-19835.7,888.547
15,5.36185e+10,2.60571e+11,5.974e+24,-21876.3,4502.85
16,1.06623e+11,3.07066e+11,5.974e+24,-19095.4,6619.64
17,9.27362e+10,2.95844e+11,5.974e+24,-19742.1,6190.47
18,7.78299e+10,3.11287e+11,5.974e+24,-19726.5,4926.14
19,7.47956e+10,2.7983e+11,5.974e+24,-20678.2,5528.54
20,2.11356e+11,3.5804e+11,5.974e+24,-15384.2,9077.31
21,1.47798e+11,3.4245e+11,5.974e+24,-17319.5,7469.48
22,1.35242e+11,2.89791e+11,5.974e+24,-18463.3,8613.79
23,1.59585e+11,2.58185e+11,5.974e+24,-17788.8,10992.9
24,1.47091e+11,1.88647e+11,5.974e+24,-18579.6,14482.5
25,2.1561e+11,1.90372e+11,5.974e+24,-14217.8,16101.1
26,1.93258e+11,1.5546e+11,5.974e+24,-14502.1,18024.5
27,8.36508e+10,2.16498e+11,5.974e+24,-22309.5,8618.47
28,-3.5261e+08,2.22644e+11,5.974e+24,-24424.3,-51.5912
29,1.72874e+10,1.7809e+11,5.974e+24,-27125.4,2631.98
30,8.78769e+09,1.66824e+11,5.974e+24,-28161,1511.64
31,4.43614e+10,1.43585e+11,5.974e+24,-28409.3,8808.95
32,8.76562e+10,1.67414e+11,5.974e+24,-23481.5,12306.2
33,1.07823e+11,1.75358e+11,5.974e+24,-21639.1,13300.7
34,6.24792e+10,1.72912e+11,5.974e+24,-25274.9,9138
35,1.10595e+11,1.5109e+11,5.974e+24,-21488.5,15738.9
36,1.18442e+10,1.11345e+11,5.974e+24,-34285.6,3767.78
37,1.5941e+10,9.84574e+10,5.974e+24,-36059.7,6047.81
38,3.66758e+09,8.96888e+10,5.974e+24,-38483.5,1910.94
39,3.84437e+10,8.26462e+10,5.974e+24,-34547.1,16397.8
40,3.1605e+10,7.70726e+10,5.974e+24,-36834.9,15571.3
41,3.13457e+10,4.2797e+10,5.974e+24,-39798.5,29771.3
42,-4.25538e+09,3.67273e+10,5.974e+24,-60225.7,-5617.13
43,3.75521e+09,2.39195e+10,5.974e+24,-73244.3,16366.5
44,-1.62917e+09,1.92803e+10,5.974e+24,-84645.8,-3785.32
45,5.15399e+10,3.57719e+10,5.974e+24,-25527.7,38113.4
46,4.0746e+10,3.53195e+10,5.974e+24,-31863.6,37634.8
47,1.09216e+11,5.53155e+10,5.974e+24,-14824.5,29462.5
48,9.96985e+10,6.46502e+10,5.974e+24,-18130.3,28132.6
49,5.83335e+10,3.19522e+10,5.974e+24,-20796.5,39479.4
50,2.08347e+11,1.1176e+11,5.974e+24,-11206,20874.5
51,2.08057e+11,8.95921e+10,5.974e+24,-9583.65,22232.8
52,1.91617e+11,8.6681e+10,5.974e+24,-10353.7,22900.4
53,1.62882e+11,1.00674e+11,5.974e+24,-13837.9,22403.1
54,1.7226e+11,1.02198e+11,5.974e+24,-13133.7,22139.7
55,1.28015e+11,1.23331e+11,5.974e+24,-18961.7,19695.9
56,1.17751e+11,1.27505e+11,5.974e+24,-20313.6,18780
57,1.72304e+11,8.06239e+10,5.974e+24,-11185.4,23944.5
58,1.62562e+11,5.39269e+10,5.974e+24,-8745.45,26444.1
59,2.23257e+11,5.30418e+10,5.974e+24,-5553.78,23407.1
60,1.78469e+11,4.95088e+10,5.974e+24,-7157.19,25811.8
61,3.80564e+11,2.46798e+11,5.974e+24,-9321.88,14349.2
62,3.66865e+11,2.47646e+11,5.974e+24,-9681.39,14349.1
63,4.34845e+11,1.53419e+11,5.974e+24,-5645.6,15996.1
64,4.72071e+11,1.58224e+11,5.974e+24,-5192.04,15477.1
65,3.04303e+11,2.37399e+11,5.974e+24,-11405.6,14620.1
66,2.416e+11,2.00943e+11,5.974e+24,-13144.3,15796.4
67,2.93656e+11,1.98875e+11,5.974e+24,-10848.5,16014.7
68,3.263e+11,1.74529e+11,5.974e+24,-8935.11,16697.9
69,3.2268e+11,1.07037e+11,5.974e+24,-6223.81,18751.1
70,3.59776e+11,9.21185e+10,5.974e+24,-4693.14,18310.8
71,2.86073e+11,1.17205e+11,5.974e+24,-7856.84,19170.5
72,2.45427e+11,6.16969e+10,5.974e+24,-5592.14,22197.2
73,2.45769e+11,4.93882e+10,5.974e+24,-4531.18,22573
74,2.67493e+11,4.45339e+10,5.974e+24,-3642.99,21823.6
75,2.85002e+11,2.08818e+10,5.974e+24,-1580.24,21496.9
76,3.78222e+11,4.96543e+10,5.974e+24,-2431.18,18492.7
77,4.5863e+11,3.93658e+10,5.974e+24,-1455.11,16915.3
78,-2.93937e+10,4.38161e+11,5.974e+24,-17341.6,-1167.58
79,-5.7463e+10,3.85209e+11,5.974e+24,-18254,-2726.79
80,-1.27716e+11,3.66227e+11,5.974e+24,-17463.3,-6093.98
81,-1.9583e+11,3.3376e+11,5.974e+24,-15970.1,-9373.77
82,-1.46756e+11,3.05016e+11,5.974e+24,-17840.9,-8586.57
83,-3.88912e+10,3.17127e+11,5.974e+24,-20229.3,-2485.19
84,-6.44478e+10,3.07932e+11,5.974e+24,-20097,-4212.14
85,-5.99426e+10,2.77644e+11,5.974e+24,-21125.2,-4562.57
86,-1.64513e+10,2.73387e+11,5.974e+24,-21981.6,-1323.29
87,-3.2113e+10,2.67958e+11,5.974e+24,-22011.2,-2639.9
88,-2.52177e+11,4.05336e+11,5.974e+24,-14155.1,-8810.15
89,-3.71509e+11,3.14962e+11,5.974e+24,-10665.2,-12586.9
90,-2.85519e+11,3.60882e+11,5.974e+24,-13317.9,-10539.5
91,-3.10244e+11,3.48384e+11,5.974e+24,-12593.3,-11218.9
92,-3.4575e+11,3.46693e+11,5.974e+24,-11655.1,-11631.5
93,-3.63894e+11,3.34391e+11,5.974e+24,-11080.2,-12070.2
94,-3.36533e+11,3.20579e+11,5.974e+24,-11653.7,-12232.3
95,-3.64163e+11,2.69498e+11,5.974e+24,-10176.5,-13755.3
96,-2.64404e+11,2.9375e+11,5.974e+24,-13619.5,-12262.1
97,-2.99645e+11,2.80942e+11,5.974e+24,-12285.9,-13117.2
98,-2.9001e+11,2.66704e+11,5.974e+24,-12422.8,-13503
99,-2.54637e+11,2.59383e+11,5.974e+24,-13634.9,-13385.2
100,-4.24497e+11,1.46951e+11,5.974e+24,-5619.33,-16242.6
101,-4.11467e+11,9.51357e+10,5.974e+24,-3990.54,-17270.7
102,-4.48389e+11,3.73687e+10,5.974e+24,-1429.59,-17117.4
103,-4.62761e+11,3.33322e+10,5.974e+24,-1203.72,-16866.6
104,-4.81333e+11,6.40258e+09,5.974e+24,-215.477,-16599.4
105,-4.18525e+11,2.56547e+10,5.974e+24,-1087.81,-17756.4
106,-2.67371e+11,7.44077e+10,5.974e+24,-5858.5,-21074.1
107,-2.60732e+11,5.38056e+10,5.974e+24,-4512.6,-21865.2
108,-2.74618e+11,3.76547e+10,5.974e+24,-2967.41,-21676.3
109,-2.98759e+11,5.94431e+10,5.974e+24,-4065.48,-20473.7
110,-3.00424e+11,6.46012e+09,5.974e+24,-445.352,-21011.1
111,-7.88971e+09,2.11803e+11,5.974e+24,-25005.4,-919.91
112,-7.87232e+10,1.93037e+11,5.974e+24,-23369.1,-9528.9
113,-1.26373e+11,1.70924e+11,5.974e+24,-20099.1,-14858.7
114,-6.09956e+09,1.83017e+11,5.974e+24,-26915.4,-891.6
115,-5.9324e+10,1.53217e+11,5.974e+24,-26525.6,-10256.1
116,-2.15661e+11,2.29324e+11,5.974e+24,-14956.5,-14068
117,-2.27426e+11,1.62955e+11,5.974e+24,-12691.4,-17713.6
118,-2.35299e+11,1.50152e+11,5.974e+24,-11720.3,-18381.4
119,-1.7759e+11,1.72604e+11,5.974e+24,-16136.6,-16604
120,-1.43471e+11,1.39072e+11,5.974e+24,-17945.1,-18509.1
121,-1.31576e+11,9.7317e+10,5.974e+24,-16965.6,-22902
122,-1.3832e+11,7.46242e+10,5.974e+24,-13827,-25582.7
123,-2.12507e+11,1.16358e+11,5.974e+24,-11253,-20537.7
124,-2.46759e+11,1.02577e+11,5.974e+24,-8536.54,-20582
125,-2.37632e+11,1.0191e+11,5.974e+24,-8933.98,-20825.8
126,-2.19362e+11,1.01472e+11,5.974e+24,-9842.01,-21269.1
127,-2.21315e+11,7.25497e+10,5.974e+24,-7433.51,-22684.7
128,-2.05469e+11,6.37125e+10,5.974e+24,-7369.84,-23726.3
129,-2.09958e+11,2.83447e+10,5.974e+24,-3352.74,-24808.9
130,-1.46327e+11,5.32271e+10,5.974e+24,-10005.2,-27447.7
131,-4.21212e+10,1.14445e+11,5.974e+24,-31041,-11338.1
132,-6.42493e+10,1.06102e+11,5.974e+24,-28057.9,-16910.1
133,-5.09036e+10,1.0041e+11,5.974e+24,-30735.9,-15435.4
134,-2.39303e+10,9.67328e+10,5.974e+24,-35546.7,-8597.89
135,-2.47708e+10,8.54592e+10,5.974e+24,-37269.9,-10449.6
136,-8.64257e+10,9.83513e+10,5.974e+24,-23979.7,-21004.4
137,-7.06974e+10,9.10818e+10,5.974e+24,-26905.9,-20751.1
138,-9.62971e+10,6.70613e+10,5.974e+24,-19321.9,-27586.8
139,-9.02573e+10,3.06771e+10,5.974e+24,-12262.2,-35320.4
140,-5.3385e+10,5.4651e+10,5.974e+24,-30241.3,-28762.3
141,-5.91392e+10,5.07434e+10,5.974e+24,-27290.3,-31055.1
142,-4.58124e+10,3.26159e+10,5.974e+24,-28567,-38965
143,-6.13697e+10,2.61318e+10,5.974e+24,-18123.2,-40696.4
144,-6.41679e+10,2.3161e+10,5.974e+24,-15611.3,-41228.8
145,-5.74593e+10,7.07084e+09,5.974e+24,-6530.18,-47182.9
146,-5.74356e+10,6.81502e+09,5.974e+24,-6326.16,-47232.2
147,-3.02135e+10,2.80536e+10,5.974e+24,-38895,-41638.1
148,-2.83749e+10,1.57852e+10,5.974e+24,-33052.3,-54021.1
149,-2.22204e+10,8.71485e+09,5.974e+24,-31012.2,-66452
150,-2.59457e+10,6.52956e+09,5.974e+24,-17536.6,-68647
151,-1.78033e+10,9.09993e+09,5.974e+24,-38719.4,-73045.8
152,-3.44146e+10,-5.92905e+09,5.974e+24,8131.19,-61529.4
153,-1.92103e+10,-2.04286e+10,5.974e+24,49982.2,-46994.8
154,-5.09774e+10,-2.3728e+10,5.974e+24,19800.8,-44077.5
155,-3.80683e+10,-1.63884e+10,5.974e+24,22330.1,-52224.2
156,-4.51599e+10,-2.95103e+10,5.974e+24,26508.4,-41571.2
157,-6.35632e+10,-4.10612e+10,5.974e+24,22280.5,-35515.7
158,-2.46004e+10,-5.45283e+10,5.974e+24,42448.9,-19980.5
159,-1.01662e+11,-2.67864e+10,5.974e+24,8896.11,-34474.6
160,-1.10523e+11,-2.57757e+10,5.974e+24,7665.54,-33393.9
161,-1.03102e+11,-4.31605e+10,5.974e+24,13224,-31880.1
162,-1.0056e+11,-4.89966e+10,5.974e+24,15006,-31069.3
163,-1.22462e+11,-9.07125e+10,5.974e+24,17559,-23748.7
164,-6.74099e+10,-9.05901e+10,5.974e+24,27477.9,-20605.1
165,-7.54102e+10,-9.64249e+10,5.974e+24,25931.1,-20368.9
166,-3.31532e+10,-6.95242e+10,5.974e+24,37282.3,-18367
167,-4.11565e+10,-8.74613e+10,5.974e+24,33493.2,-16024.1
168,-1.86231e+11,-1.22222e+10,5.974e+24,1720.49,-26641.6
169,-1.86055e+11,-2.29394e+10,5.974e+24,3257.17,-26403.7
170,-1.91766e+11,-2.48968e+10,5.974e+24,3370.11,-25983.7
171,-2.32185e+11,-9.56628e+09,5.974e+24,987.482,-23887.6
172,-2.21963e+11,-2.4485e+10,5.974e+24,2673.88,-24228.3
173,-2.05384e+11,-5.86442e+10,5.974e+24,6843.7,-23971.7
174,-2.40189e+11,-6.91926e+10,5.974e+24,6380.85,-22144.8
175,-2.40949e+11,-9.17016e+10,5.974e+24,8074.28,-21202.5
176,-1.51394e+11,-1.04235e+11,5.974e+24,15238.5,-22146.1
177,-1.84203e+11,-1.63852e+11,5.974e+24,15421.7,-17331.4
178,-1.43404e+11,-1.54776e+11,5.974e+24,18399.6,-17053.9
179,-1.98616e+11,-1.32807e+11,5.974e+24,13100.6,-19599.9
180,-2.40683e+11,-1.53805e+11,5.974e+24,11612.4,-18161
181,-2.42373e+11,-1.57343e+11,5.974e+24,11673.8,-17972.5
182,-2.03539e+11,-1.51419e+11,5.974e+24,13656.5,-18351.9
183,-1.43679e+11,-1.87066e+11,5.974e+24,18816.2,-14447.9
184,-1.82822e+11,-2.32435e+11,5.974e+24,16654.2,-13093.4
185,-1.26618e+11,-2.28569e+11,5.974e+24,19725.6,-10933.6
186,-4.73476e+10,-1.50969e+11,5.974e+24,27641.7,-8691.29
187,-1.03303e+11,-1.61756e+11,5.974e+24,22167.7,-14167.1
188,-6.68778e+10,-1.53745e+11,5.974e+24,25814.4,-11248.2
189,-1.00916e+11,-1.81484e+11,5.974e+24,22098.4,-12287.2
190,-1.18506e+11,-2.35274e+11,5.974e+24,20040.9,-10080
191,-7.11191e+10,-2.32035e+11,5.974e+24,22361.4,-6869.36
192,-1.61533e+10,-1.86426e+11,5.974e+24,26543.8,-2309.83
193,-2.77432e+11,-9.15506e+09,5.974e+24,723.079,-21851.7
194,-3.37035e+11,-2.02461e+10,5.974e+24,1190.35,-19791.2
195,-3.41727e+11,-4.3159e+10,5.974e+24,2462.87,-19469
196,-3.92382e+11,-1.10986e+10,5.974e+24,522.183,-18378.6
197,-3.94698e+11,-4.87615e+10,5.974e+24,2242.58,-18126.1
198,-4.70232e+11,-6.55601e+10,5.974e+24,2309.94,-16566.9
199,-4.71675e+11,-7.96249e+10,5.974e+24,2779.69,-16414.4
200,-4.51143e+11,-1.04295e+11,5.974e+24,3819.44,-16490.3
201,-4.31457e+11,-1.07344e+11,5.974e+24,4167.58,-16762.3
202,-3.85268e+11,-1.39289e+11,5.974e+24,6122.55,-16922.9
